Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
230,MO,Missouri,5," 573,775 "," 5,681 "," 421,069 "," 5,255 ", 73.4 , 0.7 ," 120,397 "," 3,462 ", 21.0 , 0.6 ," 6,030 ", 935 , 1.1 , 0.2 , N , N , N , N ," 1,284 ", 274 , 0.2 , 0.1 ," 9,296 "," 1,874 ", 1.6 , 0.3 ," 13,740 "," 1,716 ", 2.4 , 0.3 ," 33,905 "," 2,635 ", 5.9 , 0.4 ," 398,974 "," 4,568 ", 69.5 , 0.6 
231,MO,Missouri,6," 583,457 "," 5,275 "," 535,210 "," 4,449 ", 91.7 , 0.6 ," 26,559 "," 2,881 ", 4.6 , 0.5 ," 5,525 "," 1,124 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 2,967 "," 1,057 ", 0.5 , 0.2 ," 10,712 "," 3,385 ", 1.8 , 0.6 ," 16,447 "," 2,352 ", 2.8 , 0.4 ," 523,778 "," 4,368 ", 89.8 , 0.6 
232,MO,Missouri,7," 595,559 "," 2,710 "," 554,030 "," 2,478 ", 93.0 , 0.3 ," 12,611 "," 1,300 ", 2.1 , 0.2 ," 5,598 ", 980 , 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 3,458 ", 962 , 0.6 , 0.2 ," 12,883 "," 3,282 ", 2.2 , 0.6 ," 18,291 "," 1,411 ", 3.1 , 0.2 ," 541,114 "," 2,168 ", 90.9 , 0.3 
233,MO,Missouri,8," 567,717 "," 3,947 "," 528,067 "," 3,934 ", 93.0 , 0.3 ," 25,045 "," 2,597 ", 4.4 , 0.5 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 8,143 "," 2,816 ", 1.4 , 0.5 ," 6,686 "," 1,513 ", 1.2 , 0.3 ," 522,714 "," 3,553 ", 92.1 , 0.3 
234,MT,Montana,At-large," 823,668 "," 2,462 "," 747,646 "," 2,078 ", 90.8 , 0.2 , N , N , N , N ," 4,509 ", 685 , 0.5 , 0.1 ," 43,804 "," 3,344 ", 5.3 , 0.4 , N , N , N , N ," 3,505 "," 1,099 ", 0.4 , 0.1 ," 19,621 "," 3,837 ", 2.4 , 0.5 ," 24,492 "," 1,571 ", 3.0 , 0.2 ," 729,822 "," 1,284 ", 88.6 , 0.2 
235,NE,Nebraska,1," 473,676 "," 3,971 "," 432,846 "," 3,201 ", 91.4 , 0.5 ," 11,693 "," 1,394 ", 2.5 , 0.3 ," 7,877 ", 993 , 1.7 , 0.2 ," 5,246 "," 1,250 ", 1.1 , 0.3 , N , N , N , N ," 4,213 "," 1,104 ", 0.9 , 0.2 ," 11,469 "," 1,592 ", 2.4 , 0.3 ," 27,352 "," 1,812 ", 5.8 , 0.4 ," 412,429 "," 2,781 ", 87.1 , 0.5 
236,NE,Nebraska,2," 467,041 "," 4,132 "," 398,060 "," 3,492 ", 85.2 , 0.5 ," 42,207 "," 1,756 ", 9.0 , 0.4 ," 8,924 "," 1,341 ", 1.9 , 0.3 , N , N , N , N , N , N , N , N ," 5,956 "," 1,378 ", 1.3 , 0.3 ," 9,518 "," 1,813 ", 2.0 , 0.4 ," 30,190 "," 2,759 ", 6.5 , 0.6 ," 375,412 "," 2,451 ", 80.4 , 0.6 
237,NE,Nebraska,3," 439,543 "," 3,065 "," 415,335 "," 2,818 ", 94.5 , 0.4 ," 4,793 "," 1,161 ", 1.1 , 0.3 ," 1,949 ", 723 , 0.4 , 0.2 ," 4,072 "," 1,531 ", 0.9 , 0.3 , N , N , N , N ," 6,623 "," 1,434 ", 1.5 , 0.3 ," 6,948 "," 2,721 ", 1.6 , 0.6 ," 29,497 "," 2,114 ", 6.7 , 0.4 ," 394,655 "," 1,906 ", 89.8 , 0.5 
238,NV,Nevada,1," 418,811 "," 10,703 "," 240,100 "," 8,511 ", 57.3 , 1.6 ," 61,200 "," 5,783 ", 14.6 , 1.3 ," 35,413 "," 4,012 ", 8.5 , 0.9 ," 6,037 "," 1,761 ", 1.4 , 0.4 , N , N , N , N ," 55,335 "," 4,983 ", 13.2 , 1.1 ," 17,732 "," 2,587 ", 4.2 , 0.6 ," 125,193 "," 5,880 ", 29.9 , 1.3 ," 179,068 "," 7,473 ", 42.8 , 1.4 
239,NV,Nevada,2," 531,489 "," 4,280 "," 440,975 "," 4,523 ", 83.0 , 0.8 ," 11,815 "," 2,056 ", 2.2 , 0.4 ," 19,573 "," 1,617 ", 3.7 , 0.3 ," 13,474 "," 2,173 ", 2.5 , 0.4 , N , N , N , N ," 29,893 "," 3,552 ", 5.6 , 0.7 ," 13,627 "," 2,239 ", 2.6 , 0.4 ," 82,341 "," 3,646 ", 15.5 , 0.6 ," 394,263 "," 1,722 ", 74.2 , 0.6 
240,NV,Nevada,3," 607,915 "," 11,250 "," 413,307 "," 11,005 ", 68.0 , 1.2 ," 51,247 "," 5,927 ", 8.4 , 1.0 ," 77,180 "," 4,985 ", 12.7 , 0.8 , N , N , N , N , N , N , N , N ," 33,388 "," 5,244 ", 5.5 , 0.8 ," 26,261 "," 3,584 ", 4.3 , 0.6 ," 92,471 "," 6,487 ", 15.2 , 1.0 ," 360,201 "," 10,099 ", 59.3 , 1.3 
241,NV,Nevada,4," 516,951 "," 10,773 "," 337,862 "," 10,439 ", 65.4 , 1.6 ," 78,071 "," 5,786 ", 15.1 , 1.1 ," 32,696 "," 5,457 ", 6.3 , 1.0 ," 7,291 "," 2,376 ", 1.4 , 0.5 , N , N , N , N ," 36,795 "," 5,595 ", 7.1 , 1.1 ," 20,134 "," 2,596 ", 3.9 , 0.5 ," 112,161 "," 7,421 ", 21.7 , 1.3 ," 271,379 "," 8,847 ", 52.5 , 1.4 
242,NH,New Hampshire,1," 540,224 "," 4,909 "," 510,514 "," 5,202 ", 94.5 , 0.4 ," 8,240 "," 1,652 ", 1.5 , 0.3 ," 8,736 "," 1,366 ", 1.6 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N ," 8,689 "," 2,998 ", 1.6 , 0.6 ," 13,975 "," 1,651 ", 2.6 , 0.3 ," 500,722 "," 5,487 ", 92.7 , 0.5 
243,NH,New Hampshire,2," 529,588 "," 4,458 "," 502,531 "," 5,251 ", 94.9 , 0.5 ," 6,668 "," 1,793 ", 1.3 , 0.3 ," 8,458 "," 1,314 ", 1.6 , 0.3 , N , N , N , N , N , N , N , N ," 2,377 ", 858 , 0.4 , 0.2 ," 7,885 "," 1,772 ", 1.5 , 0.3 ," 17,289 "," 2,254 ", 3.3 , 0.4 ," 489,481 "," 5,705 ", 92.4 , 0.6 
244,NJ,New Jersey,1," 542,034 "," 6,191 "," 384,778 "," 6,774 ", 71.0 , 0.9 ," 94,492 "," 2,713 ", 17.4 , 0.5 ," 25,320 "," 1,463 ", 4.7 , 0.3 , N , N , N , N , N , N , N , N ," 25,639 "," 3,690 ", 4.7 , 0.7 ," 11,236 "," 2,262 ", 2.1 , 0.4 ," 57,115 "," 3,003 ", 10.5 , 0.5 ," 361,446 "," 5,236 ", 66.7 , 0.7 
245,NJ,New Jersey,2," 531,339 "," 6,456 "," 417,570 "," 6,554 ", 78.6 , 0.7 ," 64,200 "," 2,778 ", 12.1 , 0.5 ," 17,255 "," 1,535 ", 3.2 , 0.3 , N , N , N , N , N , N , N , N ," 19,140 "," 3,186 ", 3.6 , 0.6 ," 11,119 "," 2,254 ", 2.1 , 0.4 ," 59,922 "," 3,554 ", 11.3 , 0.6 ," 382,079 "," 5,649 ", 71.9 , 0.7 
246,NJ,New Jersey,3," 570,276 "," 5,881 "," 470,331 "," 6,389 ", 82.5 , 0.6 ," 62,569 "," 2,454 ", 11.0 , 0.4 ," 16,440 "," 1,733 ", 2.9 , 0.3 , N , N , N , N , N , N , N , N ," 7,935 "," 2,167 ", 1.4 , 0.4 ," 11,905 "," 2,314 ", 2.1 , 0.4 ," 36,899 "," 2,638 ", 6.5 , 0.4 ," 445,649 "," 5,790 ", 78.1 , 0.7 
247,NJ,New Jersey,4," 539,643 "," 8,273 "," 472,751 "," 8,399 ", 87.6 , 0.7 ," 32,469 "," 2,381 ", 6.0 , 0.4 ," 23,529 "," 2,186 ", 4.4 , 0.4 , N , N , N , N , N , N , N , N ," 5,888 "," 1,803 ", 1.1 , 0.3 ," 4,677 "," 3,223 ", 0.9 , 0.6 ," 40,667 "," 4,265 ", 7.5 , 0.8 ," 439,223 "," 8,283 ", 81.4 , 0.9 
248,NJ,New Jersey,5," 527,932 "," 8,667 "," 436,719 "," 7,341 ", 82.7 , 0.8 ," 27,896 "," 2,794 ", 5.3 , 0.5 ," 44,427 "," 3,298 ", 8.4 , 0.6 , N , N , N , N , N , N , N , N ," 6,318 "," 1,783 ", 1.2 , 0.3 ," 11,156 "," 2,765 ", 2.1 , 0.5 ," 58,275 "," 4,560 ", 11.0 , 0.8 ," 389,518 "," 7,198 ", 73.8 , 1.0 
249,NJ,New Jersey,6," 502,463 "," 7,651 "," 344,954 "," 7,734 ", 68.7 , 1.1 ," 59,427 "," 4,087 ", 11.8 , 0.8 ," 65,641 "," 4,580 ", 13.1 , 0.9 , N , N , N , N , N , N , N , N ," 17,983 "," 3,501 ", 3.6 , 0.7 ," 11,963 "," 2,879 ", 2.4 , 0.6 ," 97,590 "," 4,713 ", 19.4 , 0.9 ," 271,555 "," 6,889 ", 54.0 , 1.1 
250,NJ,New Jersey,7," 527,076 "," 9,094 "," 435,194 "," 8,283 ", 82.6 , 0.8 ," 27,632 "," 3,385 ", 5.2 , 0.6 ," 45,740 "," 3,314 ", 8.7 , 0.6 , N , N , N , N , N , N , N , N ," 9,733 "," 2,354 ", 1.8 , 0.4 ," 7,894 "," 2,458 ", 1.5 , 0.5 ," 49,423 "," 5,002 ", 9.4 , 0.9 ," 399,594 "," 6,931 ", 75.8 , 1.0 
251,NJ,New Jersey,8," 425,604 "," 11,139 "," 256,512 "," 10,006 ", 60.3 , 1.7 ," 49,683 "," 5,296 ", 11.7 , 1.2 ," 31,256 "," 3,228 ", 7.3 , 0.7 , N , N , N , N , N , N , N , N ," 69,813 "," 7,571 ", 16.4 , 1.7 ," 16,495 "," 3,291 ", 3.9 , 0.8 ," 206,013 "," 9,597 ", 48.4 , 1.7 ," 139,594 "," 6,011 ", 32.8 , 1.3 
252,NJ,New Jersey,9," 481,499 "," 11,594 "," 311,111 "," 10,580 ", 64.6 , 1.5 ," 50,941 "," 3,485 ", 10.6 , 0.7 ," 54,218 "," 3,705 ", 11.3 , 0.7 , N , N , N , N , N , N , N , N ," 53,404 "," 5,878 ", 11.1 , 1.2 ," 10,446 "," 2,120 ", 2.2 , 0.4 ," 153,807 "," 7,289 ", 31.9 , 1.2 ," 219,280 "," 7,583 ", 45.5 , 1.2 
253,NJ,New Jersey,10," 496,051 "," 9,959 "," 157,432 "," 8,413 ", 31.7 , 1.4 ," 265,501 "," 6,431 ", 53.5 , 1.3 ," 28,602 "," 3,060 ", 5.8 , 0.6 , N , N , N , N , N , N , N , N ," 34,692 "," 5,310 ", 7.0 , 1.0 ," 8,905 "," 1,728 ", 1.8 , 0.3 ," 82,975 "," 7,426 ", 16.7 , 1.4 ," 113,784 "," 6,493 ", 22.9 , 1.2 
254,NJ,New Jersey,11," 548,734 "," 8,988 "," 467,549 "," 9,141 ", 85.2 , 0.8 ," 21,897 "," 2,780 ", 4.0 , 0.5 ," 43,139 "," 3,167 ", 7.9 , 0.6 , N , N , N , N , N , N , N , N ," 6,978 "," 1,790 ", 1.3 , 0.3 ," 8,350 "," 2,000 ", 1.5 , 0.4 ," 54,585 "," 3,859 ", 9.9 , 0.7 ," 423,558 "," 7,791 ", 77.2 , 0.9 
255,NJ,New Jersey,12," 505,683 "," 9,993 "," 319,979 "," 8,426 ", 63.3 , 1.3 ," 97,561 "," 6,382 ", 19.3 , 1.1 ," 61,677 "," 4,946 ", 12.2 , 1.0 , N , N , N , N , N , N , N , N ," 14,042 "," 2,870 ", 2.8 , 0.6 ," 10,815 "," 2,483 ", 2.1 , 0.5 ," 59,774 "," 5,487 ", 11.8 , 1.0 ," 281,355 "," 7,678 ", 55.6 , 1.4 
256,NM,New Mexico,1," 514,775 "," 6,996 "," 417,352 "," 7,260 ", 81.1 , 1.0 ," 15,860 "," 2,558 ", 3.1 , 0.5 ," 11,369 "," 1,318 ", 2.2 , 0.3 ," 22,993 "," 2,654 ", 4.5 , 0.5 , N , N , N , N ," 30,972 "," 4,217 ", 6.0 , 0.8 ," 17,324 "," 2,677 ", 3.4 , 0.5 ," 227,966 "," 6,240 ", 44.3 , 0.8 ," 233,565 "," 3,129 ", 45.4 , 0.7 
257,NM,New Mexico,2," 484,702 "," 6,155 "," 410,561 "," 5,583 ", 84.7 , 0.8 ," 13,404 "," 2,365 ", 2.8 , 0.5 ," 3,104 ", 990 , 0.6 , 0.2 ," 27,930 "," 3,457 ", 5.8 , 0.7 , N , N , N , N ," 21,768 "," 3,297 ", 4.5 , 0.7 ," 8,709 "," 3,098 ", 1.8 , 0.6 ," 234,915 "," 5,294 ", 48.5 , 0.7 ," 204,305 "," 2,997 ", 42.2 , 0.7 
258,NM,New Mexico,3," 507,907 "," 5,741 "," 347,776 "," 5,733 ", 68.5 , 0.9 ," 7,966 "," 1,343 ", 1.6 , 0.3 ," 5,215 "," 1,076 ", 1.0 , 0.2 ," 93,824 "," 3,905 ", 18.5 , 0.7 , N , N , N , N ," 41,017 "," 4,174 ", 8.1 , 0.8 ," 11,024 "," 1,544 ", 2.2 , 0.3 ," 184,798 "," 5,357 ", 36.4 , 0.8 ," 213,905 "," 2,895 ", 42.1 , 0.6 
259,NY,New York,1," 530,436 "," 8,854 "," 469,195 "," 9,385 ", 88.5 , 1.0 ," 29,343 "," 4,132 ", 5.5 , 0.8 ," 18,748 "," 2,914 ", 3.5 , 0.5 , N , N , N , N , N , N , N , N ," 5,522 "," 1,699 ", 1.0 , 0.3 ," 6,247 "," 1,382 ", 1.2 , 0.3 ," 55,664 "," 6,080 ", 10.5 , 1.1 ," 421,406 "," 8,404 ", 79.4 , 1.2 
260,NY,New York,2," 515,987 "," 10,089 "," 421,557 "," 11,136 ", 81.7 , 1.3 ," 47,721 "," 3,554 ", 9.2 , 0.7 ," 13,120 "," 2,764 ", 2.5 , 0.5 , N , N , N , N , N , N , N , N ," 20,918 "," 3,931 ", 4.1 , 0.8 ," 10,552 "," 2,277 ", 2.0 , 0.4 ," 87,360 "," 6,685 ", 16.9 , 1.2 ," 360,821 "," 9,932 ", 69.9 , 1.4 
261,NY,New York,3," 521,235 "," 9,204 "," 408,617 "," 9,304 ", 78.4 , 1.2 ," 17,405 "," 2,952 ", 3.3 , 0.6 ," 74,896 "," 5,419 ", 14.4 , 1.0 , N , N , N , N , N , N , N , N ," 12,848 "," 2,846 ", 2.5 , 0.5 ," 7,092 "," 1,713 ", 1.4 , 0.3 ," 42,108 "," 4,383 ", 8.1 , 0.8 ," 380,673 "," 9,152 ", 73.0 , 1.3 
262,NY,New York,4," 506,457 "," 8,321 "," 350,417 "," 8,189 ", 69.2 , 1.4 ," 81,188 "," 5,016 ", 16.0 , 0.9 ," 32,489 "," 3,572 ", 6.4 , 0.7 ," 2,228 "," 1,345 ", 0.4 , 0.3 , N , N , N , N ," 29,611 "," 4,968 ", 5.8 , 1.0 ," 10,130 "," 2,046 ", 2.0 , 0.4 ," 73,896 "," 4,911 ", 14.6 , 0.9 ," 313,427 "," 6,420 ", 61.9 , 1.0 
263,NY,New York,5," 501,784 "," 12,659 "," 95,312 "," 6,190 ", 19.0 , 1.2 ," 269,186 "," 8,153 ", 53.6 , 1.4 ," 63,666 "," 6,704 ", 12.7 , 1.2 , N , N , N , N , N , N , N , N ," 54,170 "," 6,466 ", 10.8 , 1.2 ," 16,620 "," 2,902 ", 3.3 , 0.6 ," 74,850 "," 6,566 ", 14.9 , 1.2 ," 68,351 "," 5,276 ", 13.6 , 1.0 
264,NY,New York,6," 448,065 "," 12,825 "," 228,818 "," 8,462 ", 51.1 , 1.7 ," 22,546 "," 3,488 ", 5.0 , 0.7 ," 147,288 "," 7,225 ", 32.9 , 1.3 , N , N , N , N , N , N , N , N ," 32,697 "," 5,485 ", 7.3 , 1.2 ," 13,803 "," 2,775 ", 3.1 , 0.6 ," 84,837 "," 6,878 ", 18.9 , 1.4 ," 183,511 "," 7,627 ", 41.0 , 1.5 
265,NY,New York,7," 446,196 "," 14,230 "," 242,486 "," 10,344 ", 54.3 , 1.6 ," 54,545 "," 5,202 ", 12.2 , 1.1 ," 63,755 "," 4,737 ", 14.3 , 1.0 , N , N , N , N , N , N , N , N ," 61,784 "," 5,936 ", 13.8 , 1.2 ," 20,857 "," 3,762 ", 4.7 , 0.8 ," 162,390 "," 9,000 ", 36.4 , 1.5 ," 163,314 "," 7,394 ", 36.6 , 1.2 
266,NY,New York,8," 540,660 "," 13,211 "," 182,080 "," 8,392 ", 33.7 , 1.2 ," 277,437 "," 9,398 ", 51.3 , 1.4 ," 31,107 "," 3,765 ", 5.8 , 0.7 , N , N , N , N , N , N , N , N ," 32,944 "," 4,380 ", 6.1 , 0.8 ," 16,097 "," 2,817 ", 3.0 , 0.5 ," 83,725 "," 6,121 ", 15.5 , 1.0 ," 149,722 "," 7,272 ", 27.7 , 1.1 
267,NY,New York,9," 486,880 "," 12,651 "," 184,024 "," 8,087 ", 37.8 , 1.2 ," 233,493 "," 9,189 ", 48.0 , 1.4 ," 35,330 "," 3,483 ", 7.3 , 0.7 , N , N , N , N , N , N , N , N ," 19,299 "," 3,008 ", 4.0 , 0.6 ," 13,728 "," 2,309 ", 2.8 , 0.5 ," 49,463 "," 4,673 ", 10.2 , 0.9 ," 165,596 "," 6,832 ", 34.0 , 1.1 
268,NY,New York,10," 473,542 "," 10,788 "," 350,656 "," 9,789 ", 74.0 , 1.4 ," 19,480 "," 3,055 ", 4.1 , 0.7 ," 75,831 "," 6,609 ", 16.0 , 1.3 , N , N , N , N , N , N , N , N ," 12,426 "," 2,506 ", 2.6 , 0.5 ," 13,710 "," 2,665 ", 2.9 , 0.5 ," 51,569 "," 5,366 ", 10.9 , 1.0 ," 318,583 "," 8,968 ", 67.3 , 1.4 
269,NY,New York,11," 500,998 "," 8,100 "," 368,224 "," 6,840 ", 73.5 , 1.1 ," 38,364 "," 2,591 ", 7.7 , 0.5 ," 65,850 "," 3,687 ", 13.1 , 0.7 , N , N , N , N , N , N , N , N ," 19,320 "," 3,943 ", 3.9 , 0.8 ," 8,354 "," 2,078 ", 1.7 , 0.4 ," 75,157 "," 3,849 ", 15.0 , 0.7 ," 319,638 "," 5,860 ", 63.8 , 0.9 
270,NY,New York,12," 530,252 "," 14,243 "," 405,117 "," 11,334 ", 76.4 , 1.3 ," 28,927 "," 4,208 ", 5.5 , 0.7 ," 61,225 "," 5,342 ", 11.5 , 1.0 , N , N , N , N , N , N , N , N ," 19,638 "," 3,654 ", 3.7 , 0.7 ," 13,580 "," 2,670 ", 2.6 , 0.5 ," 59,475 "," 7,157 ", 11.2 , 1.2 ," 369,801 "," 10,163 ", 69.7 , 1.5 
271,NY,New York,13," 505,003 "," 13,783 "," 143,641 "," 9,415 ", 28.4 , 1.6 ," 167,679 "," 9,100 ", 33.2 , 1.7 ," 19,387 "," 2,928 ", 3.8 , 0.6 , N , N , N , N , N , N , N , N ," 137,339 "," 11,174 ", 27.2 , 2.0 ," 29,826 "," 4,848 ", 5.9 , 1.0 ," 245,898 "," 12,118 ", 48.7 , 1.6 ," 86,581 "," 6,193 ", 17.1 , 1.1 
272,NY,New York,14," 392,398 "," 12,236 "," 187,370 "," 7,322 ", 47.7 , 1.6 ," 58,500 "," 5,370 ", 14.9 , 1.3 ," 59,258 "," 5,239 ", 15.1 , 1.2 ," 2,015 ", 984 , 0.5 , 0.2 , N , N , N , N ," 71,750 "," 7,218 ", 18.3 , 1.6 ," 13,505 "," 2,095 ", 3.4 , 0.5 ," 162,309 "," 9,930 ", 41.4 , 1.9 ," 115,010 "," 4,908 ", 29.3 , 1.3 
273,NY,New York,15," 410,819 "," 11,144 "," 79,708 "," 6,145 ", 19.4 , 1.5 ," 166,569 "," 9,450 ", 40.5 , 1.7 ," 8,258 "," 1,806 ", 2.0 , 0.4 ," 4,016 "," 1,158 ", 1.0 , 0.3 , N , N , N , N ," 133,968 "," 7,514 ", 32.6 , 1.8 ," 17,008 "," 3,437 ", 4.1 , 0.8 ," 250,878 "," 8,416 ", 61.1 , 1.8 ," 14,264 "," 2,027 ", 3.5 , 0.5 
274,NY,New York,16," 498,243 "," 10,607 "," 249,916 "," 8,237 ", 50.2 , 1.4 ," 161,995 "," 7,886 ", 32.5 , 1.3 ," 23,001 "," 3,381 ", 4.6 , 0.7 , N , N , N , N , N , N , N , N ," 47,451 "," 5,821 ", 9.5 , 1.2 ," 14,310 "," 2,818 ", 2.9 , 0.6 ," 111,353 "," 7,212 ", 22.3 , 1.3 ," 202,591 "," 6,304 ", 40.7 , 1.1 
275,NY,New York,17," 502,861 "," 6,893 "," 373,395 "," 6,885 ", 74.3 , 1.1 ," 55,706 "," 4,040 ", 11.1 , 0.8 ," 30,787 "," 2,604 ", 6.1 , 0.5 , N , N , N , N , N , N , N , N ," 32,269 "," 4,860 ", 6.4 , 0.9 ," 9,914 "," 1,784 ", 2.0 , 0.4 ," 78,084 "," 4,770 ", 15.5 , 0.9 ," 334,031 "," 5,915 ", 66.4 , 1.0 
276,NY,New York,18," 524,373 "," 5,240 "," 421,348 "," 6,092 ", 80.4 , 1.0 ," 52,016 "," 2,188 ", 9.9 , 0.4 ," 12,453 "," 1,467 ", 2.4 , 0.3 , N , N , N , N , N , N , N , N ," 25,176 "," 5,036 ", 4.8 , 1.0 ," 12,195 "," 2,343 ", 2.3 , 0.4 ," 69,835 "," 4,324 ", 13.3 , 0.8 ," 384,776 "," 5,001 ", 73.4 , 0.9 
277,NY,New York,19," 553,713 "," 5,607 "," 499,819 "," 5,710 ", 90.3 , 0.5 ," 28,573 "," 2,446 ", 5.2 , 0.4 ," 5,960 ", 929 , 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 7,513 "," 1,915 ", 1.4 , 0.3 ," 10,473 "," 1,657 ", 1.9 , 0.3 ," 31,643 "," 2,468 ", 5.7 , 0.4 ," 479,384 "," 5,238 ", 86.6 , 0.6 
278,NY,New York,20," 557,251 "," 5,438 "," 463,732 "," 4,988 ", 83.2 , 0.5 ," 48,962 "," 3,261 ", 8.8 , 0.6 ," 17,189 "," 1,773 ", 3.1 , 0.3 , N , N , N , N , N , N , N , N ," 9,090 "," 2,155 ", 1.6 , 0.4 ," 15,050 "," 2,256 ", 2.7 , 0.4 ," 32,170 "," 1,609 ", 5.8 , 0.3 ," 447,852 "," 4,615 ", 80.4 , 0.5 
279,NY,New York,21," 551,303 "," 4,192 "," 510,069 "," 4,121 ", 92.5 , 0.3 ," 18,316 "," 1,631 ", 3.3 , 0.3 ," 5,149 "," 1,259 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 6,012 ", 972 , 1.1 , 0.2 ," 7,425 "," 1,648 ", 1.3 , 0.3 ," 15,403 "," 1,461 ", 2.8 , 0.3 ," 502,575 "," 3,809 ", 91.2 , 0.3 
280,NY,New York,22," 539,437 "," 3,753 "," 495,348 "," 3,650 ", 91.8 , 0.4 ," 21,123 "," 1,308 ", 3.9 , 0.2 ," 9,748 "," 1,115 ", 1.8 , 0.2 , N , N , N , N , N , N , N , N ," 4,461 "," 1,045 ", 0.8 , 0.2 ," 7,574 "," 2,808 ", 1.4 , 0.5 ," 15,948 "," 1,204 ", 3.0 , 0.2 ," 486,757 "," 3,212 ", 90.2 , 0.3 
281,NY,New York,23," 544,564 "," 3,340 "," 500,861 "," 3,326 ", 92.0 , 0.4 ," 15,759 "," 1,652 ", 2.9 , 0.3 ," 8,850 "," 1,228 ", 1.6 , 0.2 ," 3,285 ", 855 , 0.6 , 0.2 , N , N , N , N ," 7,985 "," 1,450 ", 1.5 , 0.3 ," 7,628 "," 1,463 ", 1.4 , 0.3 ," 18,167 ", 807 , 3.3 , 0.1 ," 492,224 "," 2,837 ", 90.4 , 0.3 
282,NY,New York,24," 539,797 "," 2,939 "," 474,013 "," 2,933 ", 87.8 , 0.4 ," 41,560 "," 1,951 ", 7.7 , 0.4 ," 9,619 "," 1,423 ", 1.8 , 0.3 , N , N , N , N , N , N , N , N ," 3,618 "," 1,046 ", 0.7 , 0.2 ," 8,527 "," 1,327 ", 1.6 , 0.2 ," 19,512 "," 1,025 ", 3.6 , 0.2 ," 462,060 "," 2,503 ", 85.6 , 0.3 
283,NY,New York,25," 543,698 "," 4,648 "," 431,515 "," 4,092 ", 79.4 , 0.5 ," 78,070 "," 2,364 ", 14.4 , 0.4 ," 12,161 "," 2,039 ", 2.2 , 0.4 , N , N , N , N , N , N , N , N ," 9,689 "," 1,817 ", 1.8 , 0.3 ," 9,827 "," 1,977 ", 1.8 , 0.4 ," 39,989 "," 1,675 ", 7.4 , 0.3 ," 406,885 "," 3,034 ", 74.8 , 0.3 
284,NY,New York,26," 539,694 "," 5,187 "," 407,858 "," 5,663 ", 75.6 , 0.5 ," 92,005 "," 2,030 ", 17.0 , 0.4 ," 12,470 "," 1,732 ", 2.3 , 0.3 , N , N , N , N , N , N , N , N ," 13,261 "," 1,749 ", 2.5 , 0.3 ," 11,702 "," 2,020 ", 2.2 , 0.4 ," 30,730 "," 1,322 ", 5.7 , 0.2 ," 395,376 "," 5,225 ", 73.3 , 0.5 
285,NY,New York,27," 564,383 "," 5,939 "," 534,723 "," 5,896 ", 94.7 , 0.4 ," 13,687 "," 2,556 ", 2.4 , 0.5 ," 4,589 "," 1,382 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 3,707 "," 1,061 ", 0.7 , 0.2 ," 5,114 "," 2,415 ", 0.9 , 0.4 ," 10,931 "," 1,339 ", 1.9 , 0.2 ," 528,120 "," 5,792 ", 93.6 , 0.5 
286,NC,North Carolina,1," 566,173 "," 6,735 "," 280,421 "," 5,231 ", 49.5 , 0.7 ," 254,956 "," 5,398 ", 45.0 , 0.8 ," 7,907 "," 1,437 ", 1.4 , 0.2 ," 4,967 ", 782 , 0.9 , 0.1 , N , N , N , N ," 7,051 "," 1,892 ", 1.2 , 0.3 ," 10,620 "," 1,918 ", 1.9 , 0.3 ," 19,273 "," 2,408 ", 3.4 , 0.4 ," 270,264 "," 5,210 ", 47.7 , 0.7 
